City,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,Origin,Country,Population,Total_Parking_Area,Park_Ways,Park_Nodes,Park_Relations,Continent,Region 1,Region 2,Total_Contributors,Country_Population
Coimbatore,126.9,47.2,60.4,68.7,21.2,7.8,47.2,63.3,78.1,"Coimbatore, India",India,959823,0.0,0,0,0,Asia,Southern Asia,,275801.0,1407563842.0
Chennai,113.0,61.8,60.1,70.0,22.8,12.0,47.3,74.3,53.2,"Chennai District, India",India,11564000,124827.64880934858,65,42,2,Asia,Southern Asia,,275801.0,1407563842.0
Ahmedabad,112.4,38.6,67.7,65.4,24.4,9.0,39.6,72.4,49.3,"Ahmedabad City Taluka, India",India,7717000,128508.1598114346,30,3,0,Asia,Southern Asia,,275801.0,1407563842.0
Copenhagen,185.7,89.4,73.6,77.7,82.4,9.3,28.4,21.2,83.7,"Copenhagen Municipality, Denmark",Denmark,1085000,1583127.2016454712,2257,121,8,Europe,Northern Europe,,95791.0,5856733.0
Taipei,149.0,74.8,84.8,86.4,57.2,30.0,34.7,49.5,84.4,"Taipei, Taiwan",Taiwan,2684567,2095666.5750911303,1083,283,32,Asia,South-eastern Asia,,65329.0,23568378.0
Kolkata,99.6,56.6,53.4,57.9,22.6,8.8,59.7,78.4,60.9,"Kolkata, India",India,18698000,41980.80864316596,11,1,0,Asia,Southern Asia,,275801.0,1407563842.0
Perth,171.6,92.2,58.2,71.3,80.1,8.2,40.9,27.2,95.7,"Perth, Australia",Australia,2039200,164051.09570612447,35,7,0,Oceania,Australia and New Zealand,,199884.0,25688079.0
Canberra,171.4,72.3,73.9,72.9,89.0,9.3,35.1,23.2,82.7,"Canberra, Australia",Australia,381488,164051.09570612447,35,7,0,Oceania,Australia and New Zealand,,199884.0,25688079.0
Hyderabad,119.4,56.6,57.1,65.1,25.3,8.1,42.1,76.0,73.5,"Hyderabad, India",India,1732693,131225.47937747778,44,40,0,Asia,Southern Asia,,275801.0,1407563842.0
Gurgaon,111.3,84.0,45.1,60.2,27.5,6.7,36.7,91.5,59.9,"Gurgaon, India",India,197340,848821.8431035074,73,35,0,Asia,Southern Asia,,275801.0,1407563842.0
Noida,109.3,82.6,44.6,64.5,26.2,4.8,45.0,92.4,58.9,"Noida, India",India,637272,848821.8431035074,73,35,0,Asia,Southern Asia,,275801.0,1407563842.0
Guadalajara,125.1,45.8,37.4,79.7,40.4,8.5,41.6,62.1,92.8,"Guadalajara, Mexico",Mexico,5437000,488442.9455728853,77,31,1,North America,Central America,Latin America and the Caribbean,177507.0,126705138.0
